Canonical SMILES,Molecule IDs
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,"CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939, CHEMBL939"
CCCCOc1ncnc2[nH]c(-c3ccc(N4CCN(C)CC4)cc3)c(-c3cccc(NC(=O)CC)c3)c12,"CHEMBL5218754, CHEMBL5218754, CHEMBL5218754"
CCC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OC(C)C)c23)c1,"CHEMBL5220645, CHEMBL5220645, CHEMBL5220645"
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,"CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965, CHEMBL31965"
C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,"CHEMBL5288888, CHEMBL5288888, CHEMBL5288888, CHEMBL5288888, CHEMBL5288888"
COc1cc(N2CCC(N3CCN(C(C)=O)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,"CHEMBL5422588, CHEMBL5422588, CHEMBL5422588"
COc1cc(N2CCC(N3C[C@H]4COC[C@H]4C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,"CHEMBL5418539, CHEMBL5418539"
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,"CHEMBL328216, CHEMBL328216, CHEMBL328216, CHEMBL328216, CHEMBL328216, CHEMBL328216"
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,"CHEMBL51853, CHEMBL51853, CHEMBL51853, CHEMBL51853, CHEMBL51853, CHEMBL51853"
COc1cc(N2CCC(N3CC(F)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,"CHEMBL5415311, CHEMBL5415311, CHEMBL5415311"
